Stage Name,Full Name,Korean Name,K Stage Name,Date of Birth,Group,Debut,Company,Country,Second Country,Height,Weight,Birthplace,Other Group,Former Group,Gender
Dongjun,Kim Dongjun,김동준,동준,11/2/1992,ZE:A,7/1/2010,Star Empire,South Korea,,,,Busan,,,M
Heechul,Jung Heechul,정희철,희철,9/12/1989,ZE:A,7/1/2010,Star Empire,South Korea,,,,Jeju,,,M
Hyungsik,Park Hyungsik,박형식,형식,16/11/1991,ZE:A,7/1/2010,Star Empire,South Korea,,,,Yongin,,,M
Kevin,Kevin Jiyeop Kim,케빈 지엽 킴,케빈,23/02/1988,ZE:A,7/1/2010,Star Empire,South Korea,Australia,,,Sydney,,,M
Kwanghee,Hwang Kwanghee,황광희,광희,25/08/1988,ZE:A,7/1/2010,Star Empire,South Korea,,,,Paju,,,M
Lee Hoo,Moon Junyoung,문준영,,9/2/1989,ZE:A,7/1/2010,Star Empire,South Korea,,,,Seoul,,,M
Minwoo,Ha Minwoo,하민우,민우,6/9/1990,ZE:A,7/1/2010,Star Empire,South Korea,,,,Yangsan,,,M
Siwan,Yim Siwan,임시완,시완,1/12/1988,ZE:A,7/1/2010,Star Empire,South Korea,,,,Busan,,,M
Taeheon,Kim Taeheon,김태헌,태헌,18/06/1989,ZE:A,7/1/2010,Star Empire,South Korea,,,,Gwangju,,,M
Jaejoong,Kim Jaejoong,김재중,재중,26/01/1986,JYJ,8/9/2010,C-JeS,South Korea,,,,Gongju,,TVXQ,M
Xia Junsu,Kim Junsu,김준수,시아 준수,15/12/1986,JYJ,8/9/2010,C-JeS,South Korea,,,,,,TVXQ,M
Yoochun,Park Yoochun,박유천,유천,4/7/1986,JYJ,8/9/2010,C-JeS,South Korea,,,,Seoul,,TVXQ,M
Dongwoo,Jang Dongwoo,장동우,동우,22/11/1990,Infinite,9/6/2010,Woollim,South Korea,,171,58,Guri,Infinite H,,M
L,Kim Myungsoo,김명수,엘,13/03/1992,Infinite,9/6/2010,Woollim,South Korea,,180,60,Seoul,Infinite F,,M
Sungjong,Lee Sungjong,이성종,성종,3/9/1993,Infinite,9/6/2010,Woollim,South Korea,,177,54,Gwangju,Infinite F,,M
Sungkyu,Kim Sungkyu,김성규,성규,28/04/1989,Infinite,9/6/2010,Woollim,South Korea,,178,62,Jeonju,,,M
Sungyeol,Lee Sungyeol,이성열,성열,27/08/1991,Infinite,9/6/2010,Woollim,South Korea,,183,59,Yongin,Infinite F,,M
Woohyun,Nam Woohyun,남우현,우현,8/2/1991,Infinite,9/6/2010,Woollim,South Korea,,176,52,Seoul,Toheart,,M
C.A.P,Bang Minsoo,방민수,캡,4/11/1992,Teen Top,9/7/2010,TOP Media,South Korea,,,,Seongnam,,,M
Changjo,Choi Jonghyun,최종현,창조,16/11/1995,Teen Top,9/7/2010,TOP Media,South Korea,,,,Chuncheon,,,M
Chunji,Lee Chanhee,이찬희,천지,5/10/1993,Teen Top,9/7/2010,TOP Media,South Korea,,,,Seongnam,,,M
Hyeri,Lee Hyeri,이혜리,혜리,9/6/1994,Girl's Day,9/7/2010,DreamT,South Korea,,167,46,Gwangju,,,F
Minah,Bang Minah,방민아,민아,13/05/1993,Girl's Day,9/7/2010,DreamT,South Korea,,165,47,Incheon,,,F
Niel,Ahn Daniel,안다니엘,니엘,16/08/1994,Teen Top,9/7/2010,TOP Media,South Korea,,,,Anyang,,,M
Ricky,Yoo Changhyun,유창현,리키,27/02/1995,Teen Top,9/7/2010,TOP Media,South Korea,,,,Seoul,,,M
Sojin,Park Sojin,박소진,소진,21/05/1986,Girl's Day,9/7/2010,DreamT,South Korea,,167,47,Daegu,,,F
Yura,Kim Ahyoung,김아영,유라,6/11/1992,Girl's Day,9/7/2010,DreamT,South Korea,,168,49,Ulsan,,,F
Hyemi,Pyo Hyemi,표혜미,혜미,3/4/1991,9Muses,12/8/2010,Star Empire,South Korea,,171,46,Gwangju,9MUSES A,,F
Keumjo,Lee Keumjo,이금조,금조,17/12/1992,9Muses,12/8/2010,Star Empire,South Korea,,167,48,Daegu,9MUSES A,,F
Kyungri,Park Kyungri,박경리,경리,5/7/1990,9Muses,12/8/2010,Star Empire,South Korea,,170,50,Busan,9MUSES A,,F
Sojin,Jo Sojin,조소진,소진,11/10/1991,9Muses,12/8/2010,Star Empire,South Korea,,170,47,Gwangju,9MUSES A,,F
Sungah,Son Sungah,손성아,성아,8/7/1989,9Muses,12/8/2010,Star Empire,South Korea,Fiji,172,48,Suma,,,F
Ahyoung,Cho Jayoung,조자영,아영,26/05/1991,Dal Shabet,3/1/2011,Happy Face,South Korea,,,,Seoul,,,F
Serri,Park Miyeon,박미연,세리,16/09/1990,Dal Shabet,3/1/2011,Happy Face,South Korea,,,,Seoul,,,F
Subin,Park Subin,박수빈,수빈,12/2/1994,Dal Shabet,3/1/2011,Happy Face,South Korea,,,,Gwangju,,,F
Woohee,Bae Woohee,배우희,우희,21/11/1991,Dal Shabet,3/1/2011,Happy Face,South Korea,,,,Busan,UNI.T,,F
Eunji,Hong Eunji,홍은지,은지,19/07/1992,Brave Girls,8/4/2011,Brave,South Korea,,,,Seoul,,,F
Minyoung,Kim Minyeong,김민영,민영,12/9/1990,Brave Girls,8/4/2011,Brave,South Korea,,,,Seongnam,,,F
Yujeong,Nam Yujeong,남유정,유정,2/5/1991,Brave Girls,8/4/2011,Brave,South Korea,,,,Seoul,,,F
Yuna,Lee Yuna,이유나,유나,6/4/1993,Brave Girls,8/4/2011,Brave,South Korea,,,,Seoul,,,F
Jamie,Park Jimin,박지민,박지민,5/7/1997,15&,5/10/2012,JYP,South Korea,,160,,Junggu,,,F
Yerin,Baek Yerin,백예린,백예린,26/06/1997,15&,5/10/2012,JYP,South Korea,,165,,Daejeon,,,F
Changsun,Lee Changsun,이창선,창선,17/03/1996,24K,6/9/2012,Choeun,South Korea,,179,58,,,,M
Cory,Hong Joohyung,홍주현,코리,25/11/1990,24K,6/9/2012,Choeun,South Korea,USA,175,58,Daegu,,,M
Hongseob,Shim Hongseob,심홍섭,홍섭,8/1/1998,24K,6/9/2012,Choeun,South Korea,,177,58,,,,M
Hui,Liang Hui,양휘,양휘,18/07/1995,24K,6/9/2012,Choeun,China,,178,58,,,,M
Jeonguk,Kim Jeonguk,김정욱,정욱,20/03/1993,24K,6/9/2012,Choeun,South Korea,,178,58,Busan,,,M
Jinhong,Kim Jinhong,김진홍,진홍,2/1/1998,24K,6/9/2012,Choeun,South Korea,,180,53,Seoul,,,M
Kisu,Choi Kisu,최기수,기수,2/10/1990,24K,6/9/2012,Choeun,South Korea,,179,60,Seoul,,,M
Narae,Park Narae,박나래,나래,23/02/1988,SPICA,7/2/2012,CJ E&M,South Korea,,,,Incheon,SPICA-S,SPICA,F
Sihyun,Park Sihyun,박시현,시현,29/11/1986,SPICA,7/2/2012,CJ E&M,South Korea,,,,,SPICA-S,SPICA,F
Baekhyun,Byun Baekhyun,변백현,백현,6/5/1992,EXO,8/4/2012,SM,South Korea,,174,58,Wonmi,EXO-CBX| SuperM,,M
Chanyeol,Park Chanyeol,박찬열,찬열,27/11/1992,EXO,8/4/2012,SM,South Korea,,185,70,Seoul,,,M
Chen,Kim Jongdae,김종대,첸,21/09/1992,EXO,8/4/2012,SM,South Korea,,173,64,Silheung,EXO-CBX,,M
D.O.,Do Kyungsoo,도경수,디오,12/1/1993,EXO,8/4/2012,SM,South Korea,,173,60,Gyeonggi,,,M
Kai,Kim Jongin,김종인,카이,14/01/1994,EXO,8/4/2012,SM,South Korea,,182,65,Suncheon,SuperM,,M
Lay,Zhang Yixing,장이씽,레이,7/10/1991,EXO,8/4/2012,SM,China,,177,60,Changsa,,,M
Sehun,Oh Sehun,오세훈,세훈,12/4/1994,EXO,8/4/2012,SM,South Korea,,181,63,Seoul,,,M
Suho,Kim Junmyeon,김준면,수호,22/05/1991,EXO,8/4/2012,SM,South Korea,,173,65,Seoul,,,M
Xiumin,Kim Minseok,김민석,시우민,26/03/1990,EXO,8/4/2012,SM,South Korea,,173,65,Guri,EXO-CBX,,M
Casper,Chu Xiaoxiang,저효상,캐스퍼,20/03/1991,CROSS GENE,8/7/2012,Amuse,China,,176,66,Shanghai,,,M
Sangmin,Kim Sangmin,김상민,상민,7/7/1992,CROSS GENE,8/7/2012,Amuse,South Korea,,178,67,Jinju,,,M
Seyoung,Lee Seyoung,이세영,세영,8/2/1990,CROSS GENE,8/7/2012,Amuse,South Korea,,180,60,Busan,,,M
Shin,Shin Wonho,신원호,신,23/10/1991,CROSS GENE,8/7/2012,Amuse,South Korea,,185,66,Seoul,,,M
Takuya,Terada Takuya,테라다 타쿠야,타쿠야,18/03/1992,CROSS GENE,8/7/2012,Amuse,Japan,,187,68,Moriya,,,M
Yongseok,Kim Yongseok,김용석,용석,8/1/1993,CROSS GENE,8/7/2012,Amuse,South Korea,,176,64,Seoul,,,M
Alice,Song Joohee,송주희,앨리스,21/03/1990,Hello Venus,9/5/2012,Fantagio,South Korea,,166,47,Wonju,,,F
Lime,Kim Hyerim,김혜림,라임,19/01/1993,Hello Venus,9/5/2012,Fantagio,South Korea,,169,50,,,,F
Nara,Kwon Nara,권나라,나라,13/03/1991,Hello Venus,9/5/2012,Fantagio,South Korea,,172,52,Seongnam,,,F
Seoyoung,Lee Seoyoung,이서영,서영,27/06/1994,Hello Venus,9/5/2012,Fantagio,South Korea,,164,50,,,,F
Yeoreum,Ahn Chaeyeon,안채연,여름,4/6/1996,Hello Venus,9/5/2012,Fantagio,South Korea,,167,48,,,,F
Yooyoung,Lee Yooyoung,이유영,유영,23/01/1995,Hello Venus,9/5/2012,Fantagio,South Korea,,170,49,Suwon,,,F
Minsu,Park Minsu,김민수,민수,15/04/1993,Boys Republic,3/6/2013,Happy Tribe| Universal,South Korea,,172,55,Gwangju,,,M
Onejunn,Jo Wonjun,조원준,원준,22/11/1988,Boys Republic,3/6/2013,Happy Tribe| Universal,South Korea,,179,61,Changwon,,,M
Sungjun,Park Sungjun,박성준,성준,17/12/1992,Boys Republic,3/6/2013,Happy Tribe| Universal,South Korea,,175,55,Ansan,,,M
Sunwoo,Choi Sunwoo,최선우,선우,12/3/1992,Boys Republic,3/6/2013,Happy Tribe| Universal,South Korea,,183,65,Seoul,,,M
Suwoong,Lee Suwoong,이수웅,수웅,20/01/1995,Boys Republic,3/6/2013,Happy Tribe| Universal,South Korea,,174,56,,,,M
Ashley,Ashley Choi,애슐리 최,애슐리,9/11/1991,Ladies' Code,7/3/2013,Polaris,South Korea,USA,,,Incheon,,,F
Sojung,Lee Sojung,이소정,소정,3/9/1993,Ladies' Code,7/3/2013,Polaris,South Korea,,,,Wonju,,,F
Zuny,Kim Joomi,김주미,주니,8/12/1994,Ladies' Code,7/3/2013,Polaris,South Korea,,,,Gwangju,,,F
Jiae,Kim Jiae,김지애,지애,31/10/1995,Wassup,7/8/2013,Mafia,South Korea,,,,,,,F
Nari,Kim Nari,김나리,나리,5/10/1992,Wassup,7/8/2013,Mafia,South Korea,,,,,,,F
Sujin,Bang Sujin,방수진,수진,26/06/1996,Wassup,7/8/2013,Mafia,South Korea,,,,,,,F
Woojoo,Kim Woojoo,김우주,우주,12/8/1996,Wassup,7/8/2013,Mafia,South Korea,,,,,,,F
Haeryeong,Na Haeryeong,나해령,해령,11/11/1994,BESTie,11/7/2013,YNB,South Korea,,,,,,,F
Hyeyeon,Kang Hyeyeon,강혜연,혜연,8/12/1990,BESTie,11/7/2013,YNB,South Korea,,,,,,EXID,F
Blue,Jung Gahee,정가희,파랑,18/01/1994,Pungdeng-E,11/12/2013,DOMA,South Korea,,161,,Gwangju,,,F
Red,Lee Heejin,이희진,빨강,10/7/1991,Pungdeng-E,11/12/2013,DOMA,South Korea,,163,,Daegu,,,F
Yellow,Kim Eunbi,김은비,노랑,5/5/1993,Pungdeng-E,11/12/2013,DOMA,South Korea,,156,,Seoul,,,F
Irene,Bae Juhyun,배주현,아이린,29/03/1991,Red Velvet,1/8/2014,SM,South Korea,,161,,Daegu,Red Velvet - IRENE SEULGI,,F
Joy,Park Sooyoung,박수영,조이,3/9/1996,Red Velvet,1/8/2014,SM,South Korea,,163,,Jeju,,,F
Seulgi,Kang Seulgi,강슬기,슬기,10/2/1994,Red Velvet,1/8/2014,SM,South Korea,,162,,Seoul,Red Velvet - IRENE SEULGI,,F
Wendy,Son Seunghwan,손승완,웬디,21/02/1994,Red Velvet,1/8/2014,SM,South Korea,,160,,Seoul,,,F
Yeri,Kim Yerim,김예림,예리,5/3/1999,Red Velvet,1/8/2014,SM,South Korea,,158,,Seoul,,,F
Benji,Baek Jaewook,배제욱,벤지,3/5/1992,B.I.G,9/7/2014,GH,USA,South Korea,183,72,Indianapolis,,,M
Gunmin,Lee Gunmin,이건민,건민,3/10/1994,B.I.G,9/7/2014,GH,South Korea,,177,64,Gangwon,,,M
Heedo,Yoon Heedo,유희도,희도,22/04/1996,B.I.G,9/7/2014,GH,South Korea,,180,60,Seoul,,,M
J-Hoon,Lim Junghoon,임정훈,제이훈,15/07/1990,B.I.G,9/7/2014,GH,South Korea,,172,62,Seoul,,,M
Minpyo,Gook Minpyo,국민표,민표,15/11/1994,B.I.G,9/7/2014,GH,South Korea,,173,57,Gwangju,,,M
Hoony,Lee Seunghoon,이승훈,승훈,11/1/1992,WINNER,12/8/2014,YG,South Korea,,,,Busan,,,M
Jinu,Kim Jinwoo,김진우,진우,26/09/1991,WINNER,12/8/2014,YG,South Korea,,,,Imja,,,M
Mino,Song Minho,송민호,민호,30/03/1993,WINNER,12/8/2014,YG,South Korea,,,,Yongin,,,M
Yoon,Kang Seungyoon,강승윤,승윤,21/01/1994,WINNER,12/8/2014,YG,South Korea,,,,Busan,,,M
Hyunkyung,Kim Hyunjong,김현종,현경,5/9/1998,Romeo,4/11/2015,CT,South Korea,,,,,,,M
Kangmin,Noh Kangmin,노강민,강민,5/9/1999,Romeo,4/11/2015,CT,South Korea,,,,,,,M
Kyle,Ma Jaekyung,마재경,카일,15/01/1997,Romeo,4/11/2015,CT,South Korea,,,,,,,M
Milo,Kim Minhak,김민학,마일로,20/08/1996,Romeo,4/11/2015,CT,South Korea,,,,,,,M
Minsung,Kim Minhwi,김민휘,민성,24/12/1996,Romeo,4/11/2015,CT,South Korea,,,,,,,M
Seunghwan,Lee Seunghwan,이승환,승환,10/12/1994,Romeo,4/11/2015,CT,South Korea,,,,,,,M
Yunsung,Hwang Yunsung,황윤성,윤성,19/03/1996,Romeo,4/11/2015,CT,South Korea,,,,,,,M
Dowoon,Yoon Dowoon,윤도운,도운,25/08/1995,DAY6,7/9/2015,JYP,South Korea,,,,,,,M
Jae,Park Jaehyung,박제형,제이,15/09/1992,DAY6,7/9/2015,JYP,South Korea,Argentina|USA,,,Buenos Aires,,,M
Sungjin,Park Sungjin,박성진,성진,16/01/1993,DAY6,7/9/2015,JYP,South Korea,,,,,,,M
Wonpil,Kim Wonpil,김원필,원필,28/04/1994,DAY6,7/9/2015,JYP,South Korea,,,,,,,M
Young K,Kang Young-hyun,강영현,영케이,19/12/1993,DAY6,7/9/2015,JYP,South Korea,Canada,,,,,,M
Bitto,Lee Changhyun,이창현,비토,24/08/1996,UP10TION,10/9/2015,TOP Media,South Korea,,,,Dongducheon,,,M
Gyujin,Han Gyujin,한규진,규진,21/11/1997,UP10TION,10/9/2015,TOP Media,South Korea,,,,Icheon,,,M
Hwanhee,Lee Hwanhee,이환희,환희,6/5/1998,UP10TION,10/9/2015,TOP Media,South Korea,,,,Daejeon,,,M
Jinhoo,Kim Jinwook,김진욱,진후,2/8/1995,UP10TION,10/9/2015,TOP Media,South Korea,,,,Changwon,,,M
Kongyeol,Go Minsoo,고민수,고결,19/05/1996,UP10TION,10/9/2015,TOP Media,South Korea,,,,Bucheon,,,M
Kuhn,Noh Sooil,노수일,쿤,11/11/1995,UP10TION,10/9/2015,TOP Media,South Korea,,,,Ansan,,,M
Sunyoul,Seon Yein,선예인,선율,6/11/1996,UP10TION,10/9/2015,TOP Media,South Korea,,,,Wando,,,M
Wei,Lee Sungjun,이성준,웨이,8/7/1996,UP10TION,10/9/2015,TOP Media,South Korea,,,,Seoul,,,M
Wooshin,Kim Wooseok,김우석,우신,27/10/1996,UP10TION,10/9/2015,TOP Media,South Korea,,,,Daejeon,,X1,M
Xiao,Lee Dongyeol,이동열,샤오,13/12/1998,UP10TION,10/9/2015,TOP Media,South Korea,,,,Busan,,,M
Arie,Jeon Minjae,전민재,아리,7/4/2000,MIXX,2/5/2016,Chiko,South Korea,,163,45,,,,F
Hanna,Shin Jiyeon,신지연,한나,19/02/1994,MIXX,2/5/2016,Chiko,South Korea,,170,48,,,,F
Heeyu,Choi Heejae,최희재,희유,30/06/1995,MIXX,2/5/2016,Chiko,South Korea,,159,,,,,F
Liyah,Moon Liya,문리야,리야,11/5/2000,MIXX,2/5/2016,Chiko,South Korea,,175,52,,,,F
Mia,Son Hyunmi,손현미,미아,31/12/1997,MIXX,2/5/2016,Chiko,South Korea,,174,,,,,F
Dongwon,Lee Dongwon,이동원,동원,1/1/1994,KNK,3/3/2016,YNB,South Korea,,184,,,,,M
Heejun,Oh Heejun,오희준,희준,8/5/1996,KNK,3/3/2016,YNB,South Korea,,180,61,,,,M
Inseong,Jeong Inseong,정인성,인성,1/7/1994,KNK,3/3/2016,YNB,South Korea,,183,71,,,,M
Jihun,Kim Jihun,김지훈,지훈,20/02/1995,KNK,3/3/2016,YNB,South Korea,,186,73,,,,M
Seoham,Park Seoham,박서함,서함,28/10/1993,KNK,3/3/2016,YNB,South Korea,,190,70,,,,M
Chani,Kang Chanhee,강찬희,찬희,17/01/2000,SF9,5/10/2016,FNC,South Korea,,,,,,,M
Dawon,Lee Sanghyuk,이상혁,다원,24/07/1995,SF9,5/10/2016,FNC,South Korea,,,,,,,M
Hwiyoung,Kim Youngkyun,김영균,휘영,11/5/1999,SF9,5/10/2016,FNC,South Korea,,,,,,,M
Inseong,Kim Inseong,김인성,인성,12/7/1993,SF9,5/10/2016,FNC,South Korea,,,,,,,M
Jaeyoon,Lee Jaeyoon,이재윤,재윤,9/8/1994,SF9,5/10/2016,FNC,South Korea,,,,,,,M
Rowoon,Kim Seokwoo,김석우,로운,7/8/1996,SF9,5/10/2016,FNC,South Korea,,,,,,,M
Taeyang,Yoo Taeyang,유태양,태양,28/02/1997,SF9,5/10/2016,FNC,South Korea,,,,,,,M
Youngbin,Kim Youngbin,김영빈,영빈,23/11/1993,SF9,5/10/2016,FNC,South Korea,,,,,,,M
Zuho,Bae Juho,백주호,주호,4/7/1996,SF9,5/10/2016,FNC,South Korea,,,,,,,M
Jennie,Kim Jennie,김제니,제니,16/01/1996,BLACKPINK,8/8/2016,YG,South Korea,,163,50,Anyang,,,F
Jisoo,Kim Jisoo,김지수,지수,3/1/1995,BLACKPINK,8/8/2016,YG,South Korea,,162,45,Seoul,,,F
Lisa,Pranpriya Manoban,쁘란쁘리야 마노반,리사,27/03/1997,BLACKPINK,8/8/2016,YG,Thailand,,170,46,Bangkok,,,F
Rosé,Roseanne Park,로잔느 박,로제,11/2/1997,BLACKPINK,8/8/2016,YG,South Korea,,167,,Auckland,,,F
Chenle,Zhong Chenle,중천러,천러,22/11/2001,NCT,9/4/2016,SM,China,,,,Shanghai,NCT Dream,,M
Doyoung,Kim Dongyoung,김동영,도영,1/2/1996,NCT,9/4/2016,SM,South Korea,,,,Guri,NCT U| NCT 127,,M
Haechan,Lee Donghyuk,이동혁,해찬,6/6/2000,NCT,9/4/2016,SM,South Korea,,,,,NCT 127| NCT Dream,,M
Jaehyun,Jung Yoonoh,정윤오,재현,14/02/1997,NCT,9/4/2016,SM,South Korea,,,,Seoul,NCT U| NCT 127,,M
Jaemin,Na Jaemin,나재민,재민,13/08/2000,NCT,9/4/2016,SM,South Korea,,,,,NCT Dream,,M
Jeno,Lee Jeno,이제노,제노,23/04/2000,NCT,9/4/2016,SM,South Korea,,,,,NCT Dream,,M
Jisung,Park Jisung,박지성,지성,5/2/2002,NCT,9/4/2016,SM,South Korea,,,,,NCT Dream,,M
Johnny,John Seo,존 서,쟈니,9/2/1995,NCT,9/4/2016,SM,USA,,,,Chicago,NCT 127,,M
Jungwoo,Kim Jungwoo,김정우,정우,19/02/1998,NCT,9/4/2016,SM,South Korea,,,,,,,M
Kun,Qian Kun,첸쿤,쿤,1/1/1996,NCT,9/4/2016,SM,China,,,,,,,M
Lucas,Wong Junghei,웡육헤이,루카스,25/01/1999,NCT,9/4/2016,SM,Hong Kong,,,,,SuperM,,M
